10,1,4f17f82b523db0ac658151ab3a94e31287107ba28802ebdda59093efb0893e21
9,1,a3258889bcf90eb2c9d0c75b16c9bd4254088f48a2e09eb420b4abb2711348d8
8,1,30a44fe7984c8b2eec19fb6ede70841886be8c003717beeab369034427efc5a5
7,1,023e232096a3661c923ca297ec3a2acd0b8719a69b29f8806d2b3a6efd865ffc
6,1,ec4014e0075044b88b107cadcf0e8acb18ecaaab9c088dc8033f8b335c43f472
5,1,65825125d0e9c9e34d1364fa4d0ab5ac18eb9cc8ac72a5df24cb54982812c906
4,1,534db926177f47f06564099be3178dba4700e20dadee1076c68600b94675ae62
3,1,067faa2a47e55e41a58474f529ce003591a54c079e97ab9a9ee23d3c3d97f0ed
2,1,30ccd5a039ee5a1f56e9c2a612ceea634132a15551e815e9228a31ec75ef9bfd
1,1,698341f922c6d205a9bee5ecad48e4967bf73a0501306b4977b9bfcfb1bb56e0
1,2,95eeed1d1fab70f074e7f0875a3865367f7d3c62cbee6e7215aed314694bcaf3
2,2,fe72703d8132d58320bb2d652d4b1351db88c62fbb169d4e990f3dffa316dbd4
1,3,d36b2203bddacf3bc9c2fa186962840412c27575df749f35f76c9d916df66e06
1,4,617cee90993ee2750ab8a2e10af06aab6fe899a18c201cd2206a52f5bac4f975
3,2,62dd17870ef5306e5c7b89033f0d077b01b540139ef45b7a7ded9952d641c34e
2,3,e3cea06a1e99e4eda680c258979db4644b645e46184c37ec656bb044e1e99727
1,5,99035eb4ba5f84b3799f9f3f3f85a707ad82a456719669e022dde9e5d09778de
1,6,4907edcbc5f8da29f2a581bf2a63da0a7896b9684b37af0a0fb53dd0e3a31d84
2,4,b7e55d38c31de6bf4322af1ae34e3ed4786292ed13a0b5f85cd2b8b592a6abdc
1,7,651a4d5a964275a8ff1163745dd010d5cc8cac335ae3a249cd9a0fe020d0b5aa
1,8,8b492b74922a327e7455b6d3cb0875fd7e59d72f2a0674e1bef4cd03a30ff613
4,2,1d89e8ab0c1a3a9bb6997dce4dda093f108cea6ef45eedf7d189ac98425f75c1
3,3,5d90a54cb82f2c322a3f7f17e399350f100f1ddfea48d3d97a5ad448ac08431f
2,5,b75e95ca40414befcef04c5798d458edf27b93f32401b9bf8ef91a2a17dcff1b
1,9,932bd0a9baeace4addd1857673a185224d1e948caf3e391599ec344b6fd7112c
